Season,Team,matches_home,goals_for_home,goals_against_home,points_home,matches_away,goals_for_away,goals_against_away,points_away,Matches,GoalsFor,GoalsAgainst,Points,AvgPointsLast5,AvgGFLast5,AvgGALast5
epl_2023_2024,Crystal Palace,19,37,26,28,19,20,32,21,38,57,58,49,5.513513513513513,6.27027027027027,7.675675675675675
epl_2023_2024,Everton,19,22,18,28,19,18,33,20,38,40,51,48,5.837837837837838,4.972972972972973,6.54054054054054
epl_2023_2024,Fulham,19,31,24,29,19,24,37,18,38,55,61,47,5.8108108108108105,6.8108108108108105,7.405405405405405
epl_2023_2024,Liverpool,19,49,17,48,19,37,24,34,38,86,41,82,10.27027027027027,10.594594594594595,4.891891891891892
epl_2023_2024,Luton,19,28,37,16,19,24,48,10,38,52,85,26,3.4324324324324325,6.486486486486487,10.297297297297296
epl_2023_2024,Man City,19,51,16,47,19,45,18,44,38,96,34,91,11.08108108108108,11.702702702702704,4.405405405405405
epl_2023_2024,Man United,19,31,28,33,19,26,30,27,38,57,58,60,7.351351351351352,7.081081081081081,7.297297297297297
epl_2023_2024,Newcastle,19,49,22,40,19,36,40,20,38,85,62,60,7.378378378378378,10.297297297297296,7.621621621621622
epl_2023_2024,Nott'm Forest,19,27,30,20,19,22,37,16,38,49,67,36,4.216216216216216,5.891891891891892,8.35135135135135
epl_2023_2024,Sheffield United,19,19,57,10,19,16,47,6,38,35,104,16,2.1621621621621623,4.54054054054054,12.91891891891892
epl_2023_2024,Tottenham,19,38,27,39,19,36,34,27,38,74,61,66,8.27027027027027,9.324324324324325,7.675675675675675
epl_2023_2024,West Ham,19,31,28,29,19,29,46,23,38,60,74,52,6.648648648648648,7.486486486486487,8.837837837837839
epl_2023_2024,Wolves,19,26,30,27,19,24,35,19,38,50,65,46,6.054054054054054,6.45945945945946,7.702702702702703
epl_2024_2025,Arsenal,19,35,17,39,19,34,17,35,38,69,34,74,9.162162162162161,8.675675675675675,4.135135135135135
epl_2024_2025,Aston Villa,19,34,20,40,19,24,31,26,38,58,51,66,8.18918918918919,7.45945945945946,6.5675675675675675
epl_2024_2025,Bournemouth,19,23,16,28,19,35,30,28,38,58,46,56,6.972972972972973,7.324324324324325,5.72972972972973
epl_2024_2025,Brentford,19,40,35,31,19,26,22,25,38,66,57,56,6.945945945945946,8.216216216216216,7.081081081081081
epl_2024_2025,Brighton,19,30,26,32,19,36,33,29,38,66,59,61,7.135135135135135,7.756756756756757,7.513513513513513
epl_2024_2025,Chelsea,19,35,18,41,19,29,25,28,38,64,43,69,8.35135135135135,8.216216216216216,5.594594594594595
epl_2024_2025,Crystal Palace,19,24,26,25,19,27,25,28,38,51,51,53,6.378378378378378,6.054054054054054,6.4324324324324325
epl_2024_2025,Everton,19,26,23,24,19,16,21,24,38,42,44,48,5.45945945945946,4.972972972972973,5.72972972972973
epl_2024_2025,Fulham,19,27,30,26,19,27,24,28,38,54,54,54,6.891891891891892,6.837837837837838,6.486486486486487
epl_2024_2025,Ipswich,19,14,44,7,19,22,38,15,38,36,82,22,2.918918918918919,4.621621621621622,10.18918918918919
epl_2024_2025,Leicester,19,15,34,15,19,18,46,10,38,33,80,25,2.810810810810811,3.972972972972973,10.297297297297296
epl_2024_2025,Liverpool,19,42,16,46,19,44,25,38,38,86,41,84,11.054054054054054,10.91891891891892,4.72972972972973
epl_2024_2025,Man City,19,43,23,42,19,29,21,29,38,72,44,71,8.54054054054054,9.027027027027026,5.8108108108108105
epl_2024_2025,Man United,19,23,28,24,19,21,26,18,38,44,54,42,5.243243243243243,5.486486486486487,6.783783783783784
epl_2024_2025,Newcastle,19,40,20,38,19,28,27,28,38,68,47,66,8.54054054054054,8.891891891891891,6.054054054054054
epl_2024_2025,Nott'm Forest,19,26,16,32,19,32,30,33,38,58,46,65,8.324324324324325,7.405405405405405,5.702702702702703
epl_2024_2025,Southampton,19,13,47,6,19,13,39,6,38,26,86,12,1.5405405405405406,3.3513513513513513,10.972972972972974
epl_2024_2025,Tottenham,19,35,35,21,19,29,30,17,38,64,65,38,5.081081081081081,8.432432432432432,7.675675675675675
epl_2024_2025,West Ham,19,23,34,20,19,23,28,23,38,46,62,43,5.108108108108108,5.4324324324324325,7.891891891891892
epl_2024_2025,Wolves,19,27,32,21,19,27,37,21,38,54,69,42,5.45945945945946,6.864864864864865,8.54054054054054
